Rank,Player,Nationality,Position,Club,Age,BirthYear,MatchesPlayed,MatchesStarted,MinutesPlayed,MatchesPlayed_90s,Goals_Total,Assists_Total,GoalsPlusAssists,NonPenaltyGoals,PenaltyGoals,PenaltyAttempts,YellowCards,RedCards,xG_Total,NonPenalty_xG,xAG_Total,NonPenalty_xG_plus_xAG,ProgressiveCarries,ProgressivePasses,ProgressivePassesReceived,Goals_Total_per90,Assists_Total_per90,GoalsPlusAssists_per90,NonPenaltyGoals_per90,G+A_ExclPK,xG_Total_per90,xAG_Total_per90,xG_plus_xAG,NonPenalty_xG_per90,NonPenalty_xG_plus_xAG_per90
1,Max Aarons,ENG,DF,Bournemouth,25,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,Joshua Acheampong,ENG,DF,Chelsea,18,2006,4,2,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,8,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12
3,Tyler Adams,USA,MF,Bournemouth,26,1999,21,14,1380,15.3,0,3,3,0,0,0,4,0,1.2,1.2,0.8,2.0,11,54,7,0.00,0.20,0.20,0.00,0.20,0.08,0.05,0.13,0.08,0.13
4,Tosin Adarabioyo,ENG,DF,Chelsea,27,1997,18,12,1182,13.1,1,1,2,1,0,0,3,0,0.9,0.9,0.2,1.1,5,34,1,0.08,0.08,0.15,0.08,0.15,0.07,0.02,0.09,0.07,0.09
5,Simon Adingra,CIV,"FW,MF",Brighton,23,2002,22,7,743,8.3,2,1,3,2,0,0,0,0,1.6,1.6,1.4,3.0,27,12,96,0.24,0.12,0.36,0.24,0.36,0.19,0.17,0.36,0.19,0.36
6,Emmanuel Agbadou,CIV,DF,Wolves,27,1997,9,9,780,8.7,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,1,19,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03
7,Asher Agbinone,ENG,MF,Crystal Palace,19,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.00,0.00,0.00,0.00,0.00,0.29,0.50,0.79,0.29,0.79
8,Ola Aina,NGA,DF,Nott'ham Forest,28,1996,30,30,2569,28.5,2,1,3,2,0,0,2,0,0.6,0.6,0.7,1.3,54,91,52,0.07,0.04,0.11,0.07,0.11,0.02,0.03,0.05,0.02,0.05
9,Rayan Aït-Nouri,ALG,DF,Wolves,23,2001,30,30,2549,28.3,3,5,8,3,0,0,6,1,2.3,2.3,3.5,5.8,68,95,147,0.11,0.18,0.28,0.11,0.28,0.08,0.12,0.20,0.08,0.20
10,Kristoffer Ajer,NOR,DF,Brentford,26,1998,18,16,1295,14.4,0,0,0,0,0,0,4,0,0.7,0.7,1.2,1.9,26,49,39,0.00,0.00,0.00,0.00,0.00,0.05,0.09,0.13,0.05,0.13
