Rk,Player,Nation,Pos,Squad,Age,Annual Wages in pounds,Weekly Wages in pounds
1,Kevin De Bruyne,be BEL,MF,Manchester City,33,"20,800,000","400,000"
2,Erling Haaland,no NOR,FW,Manchester City,24,"19,500,000","375,000"
3,Casemiro,br BRA,MF,Manchester Utd,32,"18,200,000","350,000"
4,Mohamed Salah,eg EGY,FW,Liverpool,32,"18,200,000","350,000"
5,Bruno Fernandes,pt POR,MF,Manchester Utd,29,"15,600,000","300,000"
6,Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,26,"15,600,000","300,000"
7,Bernardo Silva,pt POR,"MF,FW",Manchester City,29,"15,600,000","300,000"
8,Jack Grealish,eng ENG,"FW,MF",Manchester City,28,"15,600,000","300,000"
9,Omar Marmoush,eg EGY,"FW,MF",Manchester City,25,"15,340,000","295,000"
10,Kai Havertz,de GER,"FW,MF",Arsenal,25,"14,560,000","280,000"
11,Gabriel Jesus,br BRA,FW,Arsenal,27,"13,780,000","265,000"
12,Mason Mount,eng ENG,"MF,FW",Manchester Utd,25,"13,000,000","250,000"
13,John Stones,eng ENG,"DF,MF",Manchester City,30,"13,000,000","250,000"
14,Reece James,eng ENG,"DF,MF",Chelsea,24,"13,000,000","250,000"
15,Declan Rice,eng ENG,MF,Arsenal,25,"12,480,000","240,000"
16,Martin Ødegaard,no NOR,MF,Arsenal,25,"12,480,000","240,000"
17,İlkay Gündoğan,de GER,MF,Manchester City,33,"11,960,000","230,000"
18,Phil Foden,eng ENG,"MF,FW",Manchester City,24,"11,700,000","225,000"
19,Virgil van Dijk,nl NED,DF,Liverpool,33,"11,440,000","220,000"
20,Rodri,es ESP,MF,Manchester City,28,"11,440,000","220,000"
21,Thomas Partey,gh GHA,"MF,DF",Arsenal,31,"10,400,000","200,000"
22,Antony,br BRA,"DF,MF",Manchester Utd,24,"10,400,000","200,000"
23,Joško Gvardiol,hr CRO,DF,Manchester City,22,"10,400,000","200,000"
24,Wesley Fofana,fr FRA,DF,Chelsea,23,"10,400,000","200,000"
25,Bukayo Saka,eng ENG,"FW,MF",Arsenal,22,"10,140,000","195,000"
